tech_id,一级方向,二级措施,适用园区,对象/工艺,关键输入参数,减排计算逻辑,经济性指标,主要约束,成熟度,计算或筛选方式,备注,参数状态,来源依据
T001,能源供给,分布式光伏,全部,屋顶/闲置地,可用面积、辐照、并网容量、负荷曲线,替代边际/平均电网排放,CAPEX、LCOE、回收期,消纳率、并网、屋顶承载,成熟,优化器容量变量,不得仅按装机量算减排,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T002,能源供给,园区绿电直连/专线,新能源材料、制造、算力,园区电力系统,风光资源、距离、负荷、网架,物理绿电替代外购电,输配成本、绿电溢价,政策与电网安全,示范,规则筛选+优化,需要可追溯性,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T003,能源供给,绿电长协/绿证,外向制造、算力,购电组合,电量、价格、证书规则,Scope 2市场法减排,绿电溢价,额外性与重复计算,成熟,规则引擎,与物理减排区分,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T004,能源供给,电化学储能,高波动负荷/高比例风光,电网侧/用户侧,负荷、峰谷价、SOC、效率,提升绿电消纳、削峰,LCOS、IRR,安全、寿命、消防,成熟,MILP/鲁棒优化,不可把储能直接视为减排源,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T005,能源供给,需求响应/虚拟电厂,制造、算力,可移峰负荷,可调容量、持续时间、损失成本,减少高碳时段用电,响应收益、机会成本,生产连续性,成熟,调度优化,需要小时级数据,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T006,能源供给,多能微网,全部,电-热-冷-气-氢,设备效率、负荷、价格,多能替代与协同,总年化成本,能量平衡、可靠性,成熟,综合能源优化,核心基础设施,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T007,供热供冷,工业余热梯级利用,化工、冶金、数据中心,烟气/冷却水/工艺物流,温度、流量、时间匹配,替代蒸汽/燃气/电制热,换热网络投资,温位、距离、腐蚀,成熟,Pinch+网络优化,园区级供需匹配,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T008,供热供冷,高温热泵,印染、食品、化工、新材料,低品位余热→中温热,热源温度、供热温度、COP,替代锅炉燃料,LCOH、回收期,温升、工质、安全,成熟/提升,技术筛选+优化,需按温度区间选择,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T009,供热供冷,电锅炉/电窑炉替代,制造、化工、材料,蒸汽/烘干/煅烧,电价、绿电比例、温度,燃料Scope1转为低碳电,总成本、容量电费,电网容量、产品质量,成熟,情景优化,绿电不足时可能增排,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T010,供热供冷,热储能/冷储能,制造、算力、化工,蒸汽、热水、冷水,负荷曲线、储能损失,移峰和提高余热利用,LCOS/回收期,空间、介质、安全,成熟,调度优化,与热泵/余热联动,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T011,化工工艺,蒸汽系统优化,化工/石化,锅炉-管网-用户,压力等级、凝结水、泄漏,降低燃料与蒸汽损失,节能收益,生产连续性,成熟,规则+仿真,最常见的一级措施,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T012,化工工艺,精馏热集成/热泵精馏,化工/石化,精馏塔,塔顶/塔釜温度、回流比,降低再沸器热负荷,CAPEX、蒸汽节约,产品纯度、改造空间,成熟/示范,流程模型,需要Aspen或代理模型,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T013,化工工艺,MVR蒸发结晶,化工、锂电材料,蒸发/浓缩/废水,蒸发量、沸点升、压缩比,回收二次蒸汽,电耗与蒸汽节约,结垢、腐蚀,成熟,技术匹配,适合高蒸发负荷,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
T014,化工工艺,低碳原料/绿氢替代,化工、冶金,制氢、合成、还原,氢需求、纯度、价格、绿电,替代灰氢/焦炭/天然气,LCOH、产品溢价,氢源、储运、安全,示范,长期情景,不能仅以设备存在判断经济性,指南级，需以园区台账、可研或供应商报价核实,项目调研资料、政策文件和通用工程方法；未给出未经核实的数值参数
