field_id,主题,字段,形式,单位,优先级,建议提供部门,最低口径,公开情况,用途,填报状态,核验说明
D001,边界与组织,园区边界矢量/四至,GIS/文本,—,P0,园区管委会/自然资源,规划批复、红线图、GIS,公开通常有限,确定核算和对标空间边界,未填报,
D002,边界与组织,园区企业清单,表,户,P0,园区管委会/市场监管,企业名、统一社会信用代码、地址、行业、纳入状态,部分公开,分配活动数据与避免园区/市级混用,未填报,
D003,边界与组织,统计口径说明,文本,—,P0,统计/园区,规上/全部企业、园中园边界、是否含生活区,不公开,所有强度分母的前提,未填报,
D004,能源,综合能源消费量,数值,tce/年,P0,发改/统计/园区,分品种折标后汇总；电力按等价值,通常不公开,国家核心指标分母,未填报,
D005,能源,外购电量,月/小时序列,kWh,P0,供电/企业,受入、送出、绿电直供、市场绿电分别记录,通常不公开,电力排放与源荷匹配,未填报,
D006,能源,最大电负荷,15分钟/小时,MW,P0,供电/园区,年度最大值及时间戳,不公开,需求响应和容量规划,未填报,
D007,能源,燃煤消费,月/年,t,P0,企业/统计,煤种、用途、低位热值,通常不公开,Scope 1,未填报,
D008,能源,天然气消费,月/年,Nm³,P0,燃气/企业,用途、计量点,通常不公开,Scope 1,未填报,
D009,能源,油品消费,月/年,t/L,P0,企业,品种与用途,通常不公开,Scope 1,未填报,
D010,能源,购入蒸汽/热力,月/小时,GJ/t蒸汽,P0,供热企业,温压等级、焓值、受入/送出,通常不公开,热力净输入排放,未填报,
D011,能源,非化石能源电量,月/小时,kWh,P0,电网/项目业主,物理直供、自发自用、市场交易、绿证分别记录,部分公开,清洁能源占比和910方法,未填报,
D012,能源,绿证台账,证书明细,MWh,P0,园区/企业,证书ID、发电期间、交易、核销、受益主体,不公开,防止环境属性重复声明,未填报,
D013,能源,储能台账,设备/运行,MW/MWh,P1,项目业主,额定/可用容量、效率、SOC、充放电来源,部分公开,储能指标和调度,未填报,
D014,能源,需求响应能力,测试记录,MW,P1,供电/负荷聚合商,可验证响应容量、持续时间、响应次数,不公开,广东指标,未填报,
D015,排放,燃料活动排放,分项,tCO2,P0,园区/核查机构,活动量×因子，保留因子批次,不公开,总排放,未填报,
D016,排放,能源加工转换排放,分项,tCO2,P0,企业,投入—产出碳平衡,不公开,炼油/制气等,未填报,
D017,排放,工业过程排放,分产品,tCO2,P0,企业/生态环境,产品产量×因子或质量平衡,通常不公开,化工、建材、冶金等,未填报,
D018,排放,园区年度CO2排放,汇总,tCO2,P0,园区/核查机构,能源+过程，按910边界,少量公开,总量与强度,未填报,
D019,经济,工业总产值,年,亿元,P0,统计/园区,现价，园区边界,部分公开,经济画像,未填报,
D020,经济,工业增加值,年,亿元,P0,统计/园区,现价/不变价与基准年,部分公开,碳强度/能耗强度,未填报,
D021,经济,营业收入与利润,年,亿元,P1,统计/税务,规上口径,部分公开,经济性与韧性,未填报,
D022,经济,工业用地面积,GIS/年,km²,P0,自然资源/园区,工业用地非行政面积,部分公开,亩均/地均产出,未填报,
D023,经济,工业从业人数,年,人,P1,统计/人社,同一企业口径,部分公开,人均增加值,未填报,
D024,生产,主要产品产量,月/年,实物单位,P0,企业/统计,产品分类、合格品、自用量,通常不公开,过程排放与产品能耗,未填报,
D025,生产,关键工艺路线,工艺图,—,P0,企业,工序、物料流、能源流、连续性,不公开,技术适用性,未填报,
D026,生产,设备台账,设备表,—,P0,企业,型号、容量、效率、运行小时、寿命,不公开,节能改造和优化,未填报,
D027,生产,检修/停产窗口,时间表,小时/天,P1,企业,不可中断负荷、检修窗口,不公开,项目排期约束,未填报,
D028,资源,新鲜取水量,月/年,m³,P0,水务/企业,水源类型、边界,通常不公开,水强度,未填报,
D029,资源,重复用水量,月/年,m³,P0,企业/园区,循环水和串级水去重,不公开,重复利用率,未填报,
D030,资源,工业废水排放量,月/年,m³/t,P1,生态环境/企业,直接/间接排放,部分公开,绿色绩效,未填报,
D031,资源,工业固废产生与利用,分种类,t,P0,生态环境/企业,当期产生、库存、利用、处置,部分公开,综合利用率,未填报,
D032,资源,余热余冷余压清单,时序/品位,GJ/MWh,P0,企业,温度、压力、流量、时序、可回收量,不公开,工业共生和利用率,未填报,
D033,污染物,COD排放,年,t,P1,生态环境,许可/实测、园区边界,部分公开,减污降碳协同,未填报,
D034,污染物,氨氮排放,年,t,P1,生态环境,许可/实测,部分公开,减污降碳协同,未填报,
D035,污染物,SO2排放,年,t,P1,生态环境,许可/实测,部分公开,减污降碳协同,未填报,
D036,污染物,NOx排放,年,t,P1,生态环境,许可/实测,部分公开,减污降碳协同,未填报,
D037,污染物,VOCs排放,年,t,P1,生态环境,源项清单/LDAR,部分公开,化工园区,未填报,
D038,建筑交通,新建建筑面积及能耗等级,项目表,m²,P1,住建/园区,竣工面积、超低/近零能耗证明,部分公开,广东建筑指标,未填报,
D039,建筑交通,既有建筑节能改造面积,项目表,m²,P1,住建/园区,验收日期、节能量,部分公开,广东建筑指标,未填报,
D040,建筑交通,园区车辆清单,车辆表,辆,P1,交通/企业,燃料类型、用途、年里程,不公开,清洁车辆指标,未填报,
D041,项目,候选项目CAPEX,报价/可研,万元,P0-优化,项目业主/厂商,价格基准年、含税、建设期,不公开,项目组合,未填报,
D042,项目,候选项目OPEX,年,万元/年,P0-优化,项目业主/厂商,固定/可变、维护,不公开,NPV/MACC,未填报,
D043,项目,项目节能/减排量,测算/实测,tce、tCO2/年,P0-优化,设计院/核查机构,基线、公式、M&V计划,不公开,路径模拟,未填报,
D044,项目,项目依赖与互斥,关系表,—,P1,园区/企业,前置项目、共享设备、互斥原因,不公开,优化约束,未填报,
D045,价格,电价与需量费,时段/合同,元/kWh、元/kW,P0-优化,供电/企业,现货、中长期、基本电费,不公开,运行优化,未填报,
D046,价格,燃料/蒸汽/水价格,合同,元/单位,P0-优化,供应商/企业,含税、基准期,不公开,经济分析,未填报,
D047,政策市场,碳配额/CCER/绿证价格,交易记录,元/单位,P1,交易平台/企业,交易日和产品类型,公开/部分公开,情景变量，不作固定常数,未填报,
D048,证据,来源元数据,逐数据点,—,P0,数据提供方,URL/文件、页码、年份、边界、联系人、提取时间,—,可追溯,未填报,
D049,证据,证据等级,枚举,A/B/C/D1/D2,P0,平台治理,A直接；B复算；C代理；D定性/缺失,—,排名门禁,未填报,
D050,治理,数据变更与审批,变更表,—,P0,平台管理员,数据批次、模型配置、审批人、时间,—,审计与回滚,未填报,
