fact_id,date,scope,metric,value,unit,statement,source_url
F01,2025-12-26,国家级建设名单,园区数量,52,个,第一批国家级零碳园区建设名单共纳入52个园区。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/t20251226_1402632.html
F02,2025-12-29,国家级建设名单,覆盖范围,31省区市及新疆生产建设兵团,,首批名单覆盖31个省（区、市）和新疆生产建设兵团。,https://www.ndrc.gov.cn/fggz/202512/t20251229_1402689.html
F03,2025-12-29,国家级建设名单,预期产值,3.54,万亿元,官方公开解读称，首批园区建成后预计产值达到3.54万亿元。,https://www.ndrc.gov.cn/fggz/202512/t20251229_1402689.html
F04,2026-03-28,广东省级建设名单,园区数量,15,个,广东省首批省级零碳园区建设名单共15个园区。,https://sthjj.gz.gov.cn/hbyd/zjhjb/content/post_10746061.html
F05,2026-03-28,广东省级建设名单,边界类型,4个整体、11个园中园,,广东首批名单中，4个采用园区整体模式，11个采用园中园模式。,https://sthjj.gz.gov.cn/hbyd/zjhjb/content/post_10746061.html
F06,2025-07-08,全国园区测算,单位能耗碳排放参考水平,约2.1,tCO2/tce,国家发展改革委专家解读给出的全国园区大致参考水平，不用于单个园区认定。,https://www.ndrc.gov.cn/xxgk/jd/jd/202507/t20250708_1399064.html
F07,2026-05-20,多用户绿电直连,适用场景,工业园区、零碳园区等,,多用户绿电直连政策明确工业园区、零碳园区可将全部或部分负荷就近接入新能源。,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202605/t20260520_1405313.html
F08,2026-05-20,多用户绿电直连,年自发自用电量占总可用发电量,不低于60,%,多用户绿电直连项目应按“以荷定源”合理规划，年自发自用电量占总可用发电量的比例不低于60%。,https://www.nea.gov.cn/20260520/9e1c4277ce324c8ab82a84da98da7980/c.html
F09,2026-05-20,多用户绿电直连,年自发自用电量占总用电量,不低于30；2030年前不低于35,%,多用户绿电直连项目年自发自用电量占总用电量的比例不低于30%，2030年前不低于35%。,https://www.nea.gov.cn/20260520/9e1c4277ce324c8ab82a84da98da7980/c.html
F10,2026-05-20,多用户绿电直连,项目责任主体,应明确独立主责单位,,多用户绿电直连项目应明确独立主责单位，并就产权、运维、平衡责任、内部费用和违约责任形成协议。,https://www.nea.gov.cn/20260520/9e1c4277ce324c8ab82a84da98da7980/c.html
