source_id,name,publisher,date,use,url,grade
S01,关于开展零碳园区建设的通知（发改环资〔2025〕910号）,国家发展改革委、工业和信息化部、国家能源局,2025-06-30,建设条件、重点任务、组织实施,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/t20250708_1399055.html,A
S02,零碳园区建设基本条件,国家发展改革委,2025-07-08,申报主体、边界、数据基础和安全环境条件,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509042889306.pdf,A
S03,国家级零碳园区建设指标体系（试行）,国家发展改革委,2025-07-08,1项核心指标和5项引导指标,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf,A
S04,零碳园区碳排放核算方法（试行）,国家发展改革委,2025-07-08,核算边界、公式和因子,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf,A
S05,国家级零碳园区申报书大纲,国家发展改革委,2025-07-08,建设基础、可行性、目标、项目和经济性分析,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043084212.pdf,A
S06,国家级零碳园区建设名单（第一批）,国家发展改革委、工业和信息化部、国家能源局,2025-12-26,52个园区名称、范围和建设周期,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202512/P020251226365885650791.pdf,A
S07,广东省零碳园区建设名单（第一批）公开信息,广州市生态环境局转引,2026-03-28,15个省级园区及建设类型,https://sthjj.gz.gov.cn/hbyd/zjhjb/content/post_10746061.html,A-
S08,关于有序推动多用户绿电直连发展有关事项的通知,国家发展改革委、国家能源局,2026-05-20,园区绿电直连适用范围和实施要求,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202605/t20260520_1405313.html,A
S09,零碳园区创建与评价技术规范 T/SEESA 010-2022,上海市节能环保服务业协会,2022-05-01,团体标准参考，含完整性、透明性和持续性原则,https://www.shanghai.gov.cn/cmsres/0a/0afa863604724008912e93c39e7343ea/b3f9f7cacd27d37e8a983509e96cbc05.pdf,B+
S10,能源领域节能降碳行动计划（2026—2028年）,国家能源局,2026-07-10,园区能源系统、数字化监测与重点节能降碳措施,https://www.nea.gov.cn/20260710/4acf5873e20149cdbc52c709b16b30ff/c.html,A
