rule_id,category,item,rule,nature,source,source_url
R01,基本条件,建设主体,省级及以上开发区；符合条件的新兴产业园区或高新技术园区可纳入,申报条件,发改环资〔2025〕910号附件1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509042889306.pdf
R02,基本条件,建设边界,可为园区整体，也可为有明确四至边界的园中园,申报条件,发改环资〔2025〕910号附件1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509042889306.pdf
R03,基本条件,数据基础,能耗和碳排放统计、核算、计量、监测具备一定基础,申报条件,发改环资〔2025〕910号附件1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509042889306.pdf
R04,基本条件,安全环境记录,近3年未发生重大安全、环境事故或其他社会不良影响事件,申报条件,发改环资〔2025〕910号附件1,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509042889306.pdf
R05,核心指标,单位能耗碳排放,20万—100万tce：≤0.2 tCO2/tce；≥100万tce：≤0.3 tCO2/tce,验收首要条件,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R06,引导指标,清洁能源消费占比,≥90%,验收参考,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R07,引导指标,园区企业产出产品单位能耗,达到或优于二级能耗限额标准,验收参考,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R08,引导指标,工业固体废弃物综合利用率,≥80%,验收参考,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R09,引导指标,余热/余冷/余压综合利用率,≥50%,验收参考,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R10,引导指标,工业用水重复利用率,≥80%,验收参考,国家级零碳园区建设指标体系（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043242519.pdf
R11,核算边界,核算期,一个自然年,核算规则,零碳园区碳排放核算方法（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf
R12,核算边界,排放范围,园区内能源活动和工业生产过程产生的直接或间接二氧化碳排放,核算规则,零碳园区碳排放核算方法（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf
R13,电力核算,非化石能源直供及绿证绿电,符合方法规定的电力排放因子计为0；其他电力按0.8325 kgCO2/kWh,核算规则,零碳园区碳排放核算方法（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf
R14,热力核算,化石能源热力,可用实测值；缺省值0.11 tCO2/GJ,核算规则,零碳园区碳排放核算方法（试行）,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202507/P020250708509043380772.pdf
R15,团体标准参考,创建原则,优先自身减排，边界完整、过程透明、持续改进；范围1和范围2应纳入,指南参考，不替代国家验收,T/SEESA 010-2022 零碳园区创建与评价技术规范,https://www.shanghai.gov.cn/cmsres/0a/0afa863604724008912e93c39e7343ea/b3f9f7cacd27d37e8a983509e96cbc05.pdf
